Wavelength	Loss
nm	dB/m
	Bi227(K)(SM)
1315,7	1,4596
1316,4	1,47401
1317,1	1,48363
1317,8	1,49217
1318,5	1,50558
1319,2	1,52008
1319,9	1,5263
1320,6	1,53977
1321,3	1,55161
1322	1,56515
1322,7	1,5744
1323,4	1,58469
1324,1	1,59405
1324,8	1,60495
1325,5	1,61433
1326,2	1,63377
1326,9	1,64144
1327,6	1,65491
1328,3	1,6673
1329	1,68014
1329,7	1,69074
1330,4	1,70285
1331,1	1,70479
1331,8	1,72648
1332,5	1,73052
1333,2	1,74334
1333,9	1,76271
1334,6	1,77055
1335,3	1,78284
1336	1,80106
1336,7	1,80674
1337,4	1,82016
1338,1	1,83483
1338,8	1,83879
1339,5	1,85454
1340,2	1,86827
1340,9	1,87411
1341,6	1,89171
1342,3	1,90422
1343	1,91976
1343,7	1,92872
1344,4	1,93306
1345,1	1,94067
1345,8	1,95992
1346,5	1,97279
1347,2	1,97591
1347,9	1,98643
1348,6	2,01425
1349,3	2,02176
1350	2,03158
1350,7	2,05055
1351,4	2,0486
1352,1	2,06988
1352,8	2,07622
1353,5	2,08542
1354,2	2,09588
1354,9	2,11125
1355,6	2,11745
1356,3	2,13219
1357	2,13899
1357,7	2,14801
1358,4	2,16518
1359,1	2,17002
1359,8	2,18575
1360,5	2,19011
1361,2	2,20556
1361,9	2,20637
1362,6	2,22498
1363,3	2,2426
1364	2,24687
1364,7	2,25094
1365,4	2,26512
1366,1	2,26858
1366,8	2,28156
1367,5	2,29984
1368,2	2,30353
1368,9	2,31251
1369,6	2,32126
1370,3	2,33048
1371	2,3423
1371,7	2,33875
1372,4	2,3451
1373,1	2,35988
1373,8	2,36611
1374,5	2,38676
1375,2	2,38004
1375,9	2,38989
1376,6	2,40346
1377,3	2,39516
1378	2,40192
1378,7	2,415
1379,4	2,42557
1380,1	2,42188
1380,8	2,42249
1381,5	2,42455
1382,2	2,45298
1382,9	2,4491
1383,6	2,45354
1384,3	2,45697
1385	2,46647
1385,7	2,46377
1386,4	2,46667
1387,1	2,4648
1387,8	2,46639
1388,5	2,49099
1389,2	2,4802
1389,9	2,48933
1390,6	2,47089
1391,3	2,48223
1392	2,48765
1392,7	2,47162
1393,4	2,48819
1394,1	2,4759
1394,8	2,47668
1395,5	2,46879
1396,2	2,49777
1396,9	2,46616
1397,6	2,47985
1398,3	2,47621
1399	2,45221
1399,7	2,45306
1400,4	2,48601
1401,1	2,45277
1401,8	2,46447
1402,5	2,44919
1403,2	2,46872
1403,9	2,43056
1404,6	2,44916
1405,3	2,43483
1406	2,43103
1406,7	2,42733
1407,4	2,41286
1408,1	2,40518
1408,8	2,42191
1409,5	2,40346
1410,2	2,39078
1410,9	2,38783
1411,6	2,38451
